название,обзор,видео
Warhammer 40000,https://warhead.su/2017/11/15/nastolnye-vargeymy-intellektualnoe-razvlechenie,https://www.youtube.com/watch?v=KSPoqlR69sI
Андор Последняя надежда,https://tesera.ru/article/andor-3-poslednyaya-nadezhda-obzor/,https://www.youtube.com/watch?v=c_EoE9l3HaI
Кровь и ярость,https://www.crowdgames.ru/collection/krov-i-yarost,https://www.youtube.com/watch?v=MagkOWQpDhc
Сталинградская битва,http://boardgamer.ru/stalingrad-raspechataj-i-igraj,https://www.youtube.com/watch?v=CK3c-ZDsef0
Это моя война,https://proigrogame.ru/obzor-nastolnoy-igry-yeto-moya-voyna/,https://www.youtube.com/watch?v=rOlC9IXC9qQ
DBA,http://strategwar.ru/rules-wargame/pravila-nastolnogo-vargejma-dba-dba,https://www.youtube.com/watch?v=rJoLwpi6D30
Закат империй,https://pikabu.ru/story/nastolnaya_igra_zakat_imperii_obzor_6564355,https://www.youtube.com/watch?v=H6voXrFshhU
Генералы:вторая мировая,https://tesera.ru/article/1042674/,https://www.youtube.com/watch?v=r5J2v9Eb8Ow
Великая Отечественная: Лето 1941,https://spottymill.com/2012/05/17/velikaya-otechestvennaya-leto-1941-obzor-komponentov/,https://www.youtube.com/watch?v=NJE0Gj2X3bM
This War of Mine (Prototype),https://www.igromania.ru/article/25913/Recenziya_na_This_War_of_Mine_voyna_vyzhivanie_i_besposchadnaya_matematika.html,https://www.youtube.com/watch?v=eq6FFYc5l14
